Wall time,Step,Value
1701824149.8816638,49,2.2995269298553467
1701824151.0522661,99,1.812005877494812
1701824152.1793642,149,1.5943810939788818
1701824157.5002568,199,1.4535077810287476
1701824158.669019,249,1.711984395980835
1701824159.7973971,299,1.4212788343429565
1701824165.1218834,349,1.399737000465393
1701824166.2575316,399,1.2474925518035889
1701824167.400495,449,0.9717170596122742
1701824172.8212872,499,1.2366762161254883
1701824173.9525127,549,0.7126691341400146
1701824175.0782115,599,0.9409160017967224
1701824180.5555732,649,0.8322539329528809
1701824181.7434406,699,0.7044309973716736
1701824182.8493292,749,0.42555513978004456
1701824188.2599163,799,0.5370933413505554
1701824189.434142,849,0.35144519805908203
1701824190.571397,899,0.5014429688453674
1701824195.931935,949,0.5400032997131348
1701824197.0540295,999,0.459556519985199
1701824198.22516,1049,0.4189334213733673
1701824203.58228,1099,0.42320549488067627
1701824204.7457874,1149,0.4588150084018707
1701824205.897012,1199,0.5985512137413025
1701824207.0577629,1249,0.26956307888031006
1701824212.4235811,1299,0.4240221381187439
1701824213.5851116,1349,0.2702862620353699
1701824214.732078,1399,0.32700562477111816
1701824220.1102269,1449,0.31737780570983887
1701824221.255004,1499,0.32073116302490234
1701824222.419368,1549,0.32483819127082825
