Wall time,Step,Value
1701833577.592361,8749,9.0
1701833579.0514302,8799,9.0
1701833580.456454,8849,9.0
1701833581.892773,8899,9.0
1701833583.3049016,8949,9.0
1701833584.6475532,8999,9.0
1701833586.0184627,9049,9.0
1701833587.5002255,9099,9.0
1701833588.837868,9149,9.0
1701833590.1738596,9199,9.0
1701833591.6646519,9249,9.0
1701833593.0984933,9299,9.0
1701833594.6126602,9349,9.0
1701833605.4459233,9379,9.0
1701833605.5040746,9379,9.0
1701833612.4468875,9380,10.0
