Wall time,Step,Value
1701830343.9454765,49,2.295050621032715
1701830345.427075,99,2.3261642456054688
1701830346.8389132,149,2.0309343338012695
1701830348.2704098,199,1.6897361278533936
1701830349.7459748,249,1.6074174642562866
1701830351.1576056,299,1.652486801147461
1701830352.5671391,349,1.627288818359375
1701830353.9048011,399,1.5368531942367554
1701830355.2864926,449,1.2906075716018677
1701830367.3535526,499,1.231834053993225
1701830368.7461023,549,1.369053840637207
1701830370.1129203,599,1.2663332223892212
1701830371.6385117,649,1.2177302837371826
1701830373.1342115,699,1.1377480030059814
1701830374.5004582,749,1.1655527353286743
1701830375.9164162,799,1.1098034381866455
1701830377.278283,849,0.9448350667953491
1701830378.7812285,899,0.567010223865509
1701830389.9822202,949,0.6811560392379761
1701830391.3661172,999,0.707726776599884
1701830392.7549894,1049,0.39389219880104065
1701830394.1971495,1099,0.4538949131965637
1701830395.7038703,1149,0.5177017450332642
1701830397.0851424,1199,0.5096627473831177
1701830398.4603603,1249,0.5091869235038757
1701830399.8092635,1299,0.2919620871543884
1701830401.3255455,1349,0.5258925557136536
1701830402.6807756,1399,0.1684853434562683
1701830414.2631927,1449,0.21459566056728363
1701830415.7615163,1499,0.4241125285625458
1701830417.1670115,1549,0.3331541419029236
1701830418.5682118,1599,0.2593385577201843
1701830419.9373739,1649,0.3265462815761566
1701830421.5070302,1699,0.5054622292518616
1701830422.9213922,1749,0.20045609772205353
1701830424.424856,1799,0.32860761880874634
1701830425.7339208,1849,0.23930445313453674
1701830437.0247462,1899,0.21766029298305511
1701830438.4440632,1949,0.34562551975250244
1701830439.8064778,1999,0.2565983831882477
1701830441.2090049,2049,0.21073971688747406
1701830442.5596778,2099,0.22439044713974
1701830443.9787917,2149,0.09141668677330017
1701830445.4101627,2199,0.16215577721595764
1701830446.8168108,2249,0.2095324993133545
1701830448.2194698,2299,0.14579884707927704
1701830459.7094257,2349,0.10138362646102905
1701830461.0786111,2399,0.27998533844947815
1701830462.545468,2449,0.22738663852214813
1701830463.9381478,2499,0.2692539393901825
1701830465.516451,2549,0.15824055671691895
1701830466.9322238,2599,0.04844062402844429
1701830468.4005206,2649,0.08593583106994629
1701830469.8233235,2699,0.2868252396583557
1701830471.1652842,2749,0.10592951625585556
1701830472.539198,2799,0.2154613435268402
1701830484.1827037,2849,0.09782926738262177
1701830485.5545552,2899,0.2189212292432785
1701830487.043222,2949,0.11528376489877701
1701830488.5428421,2999,0.22693270444869995
1701830490.0665336,3049,0.1423468142747879
1701830491.5034707,3099,0.2628236711025238
1701830492.9969897,3149,0.10857278853654861
1701830494.6092808,3199,0.15108107030391693
1701830496.1450696,3249,0.12306587398052216
1701830507.4908187,3299,0.16775746643543243
1701830508.862507,3349,0.06761916726827621
1701830510.3635778,3399,0.031092273071408272
1701830511.7587655,3449,0.14617973566055298
1701830513.2381678,3499,0.06026313453912735
1701830514.6664543,3549,0.09937413036823273
1701830516.0785303,3599,0.3190939724445343
1701830517.5395908,3649,0.10741834342479706
1701830518.9592671,3699,0.1015743762254715
1701830520.4077842,3749,0.17382465302944183
1701830532.4153547,3799,0.16971427202224731
1701830533.9631174,3849,0.10239240527153015
1701830535.3652277,3899,0.07243324816226959
1701830536.7970383,3949,0.10197583585977554
1701830538.3861833,3999,0.2797897756099701
1701830539.7830734,4049,0.12088163942098618
1701830541.1821597,4099,0.2191985696554184
1701830542.580904,4149,0.17744706571102142
1701830544.0148869,4199,0.08495551347732544
1701830555.6582785,4249,0.09439436346292496
1701830557.0978024,4299,0.12187139689922333
1701830558.4777634,4349,0.11548725515604019
1701830559.8939955,4399,0.24416153132915497
1701830561.2699285,4449,0.11536179482936859
1701830562.7000794,4499,0.1577996015548706
1701830564.0742857,4549,0.1838146150112152
1701830565.4616158,4599,0.060383979231119156
1701830566.9163568,4649,0.09214447438716888
