Wall time,Step,Value
1701823568.354657,49,1.9472050666809082
1701823569.4734395,99,1.4567904472351074
1701823570.6422086,149,1.1935063600540161
1701823576.0368583,199,0.9838079214096069
1701823577.221438,249,0.9036943912506104
1701823578.3890686,299,0.6534618735313416
1701823583.741956,349,0.39074936509132385
1701823584.9469407,399,0.4692194163799286
1701823586.0673993,449,0.2982684373855591
1701823591.4461696,499,0.3137560784816742
1701823592.6177795,549,0.1956675499677658
1701823593.7910395,599,0.2827506363391876
1701823599.0636084,649,0.24943096935749054
1701823600.2682586,699,0.19928987324237823
1701823601.3991094,749,0.1705780178308487
1701823606.8636749,799,0.25080975890159607
1701823608.02349,849,0.1278182715177536
1701823609.1881423,899,0.25619804859161377
1701823614.5160155,949,0.1954277902841568
1701823615.7062302,999,0.16324442625045776
1701823616.807928,1049,0.11125323176383972
1701823622.304325,1099,0.25306031107902527
1701823623.4189808,1149,0.12148363888263702
1701823624.5364654,1199,0.16360974311828613
1701823625.733866,1249,0.08777400851249695
1701823631.1492887,1299,0.08262155205011368
1701823632.2800078,1349,0.10205204784870148
1701823633.4310396,1399,0.05683828145265579
1701823638.8092139,1449,0.2041446715593338
1701823639.9685004,1499,0.16872353851795197
1701823641.1135697,1549,0.030735889449715614
