Wall time,Step,Value
1701834913.4077675,49,2.3088936805725098
1701834914.8908775,99,2.281052350997925
1701834916.2930033,149,2.0776307582855225
1701834917.809489,199,1.967596411705017
1701834919.1983123,249,1.5348670482635498
1701834920.7133615,299,1.4109870195388794
1701834922.199726,349,1.4838662147521973
1701834923.6409032,399,1.4374477863311768
1701834925.0732777,449,1.1033557653427124
1701834926.5547771,499,1.362170934677124
1701834928.0995388,549,0.8594816327095032
1701834929.4980392,599,1.0136008262634277
1701834930.9028826,649,0.8466521501541138
1701834932.3028655,699,0.616574764251709
1701834933.7256074,749,0.4357958137989044
1701834935.128667,799,0.3937799036502838
1701834936.5391316,849,0.2957439124584198
1701834938.0531597,899,0.29415857791900635
1701834949.5279179,949,0.4690958857536316
1701834951.0301363,999,0.17569832503795624
1701834952.4869947,1049,0.4541173577308655
1701834953.9232128,1099,0.415115624666214
1701834955.3771746,1149,0.2769763469696045
1701834956.7538376,1199,0.27895161509513855
1701834958.187408,1249,0.08524329215288162
1701834959.718399,1299,0.26188141107559204
1701834961.1878717,1349,0.27482089400291443
1701834962.614203,1399,0.19120527803897858
1701834963.9930782,1449,0.2537176012992859
1701834965.359878,1499,0.17311546206474304
1701834966.7486475,1549,0.3182200789451599
1701834968.243217,1599,0.16781343519687653
1701834969.6825206,1649,0.14068512618541718
1701834971.1651485,1699,0.242445707321167
1701834972.6991148,1749,0.13588741421699524
1701834974.07202,1799,0.2777771055698395
1701834975.4882662,1849,0.050199005752801895
1701834987.1781406,1899,0.2249109447002411
1701834988.534815,1949,0.17066316306591034
1701834989.8875453,1999,0.059276849031448364
1701834991.2387326,2049,0.12656310200691223
1701834992.6120546,2099,0.1651093065738678
1701834994.018579,2149,0.20652475953102112
1701834995.5015247,2199,0.18723389506340027
1701834996.8854656,2249,0.0972570925951004
1701834998.6107745,2299,0.06573794037103653
1701835000.004226,2349,0.12024016678333282
1701835001.3549137,2399,0.1722375601530075
1701835002.7405033,2449,0.1403481513261795
1701835004.3116055,2499,0.1453167051076889
1701835005.8182242,2549,0.1983289122581482
1701835007.3278706,2599,0.12803298234939575
1701835008.7051206,2649,0.2772757411003113
1701835010.0666149,2699,0.25013452768325806
1701835011.4780111,2749,0.025455985218286514
1701835013.0478082,2799,0.233627051115036
1701835023.8976526,2849,0.07122812420129776
1701835025.368542,2899,0.10960207134485245
1701835026.7371216,2949,0.3105891942977905
1701835028.0959237,2999,0.0642605796456337
1701835029.4848921,3049,0.14031581580638885
1701835030.8468015,3099,0.08024129271507263
1701835032.3620646,3149,0.06761618703603745
1701835033.7240753,3199,0.0796188935637474
1701835035.1708877,3249,0.12533161044120789
1701835036.5461543,3299,0.1485505998134613
1701835038.0074632,3349,0.05882127583026886
1701835039.368217,3399,0.1460789144039154
1701835040.7338693,3449,0.189433291554451
1701835042.202118,3499,0.2555308938026428
1701835043.5568998,3549,0.049079664051532745
1701835044.953783,3599,0.1388777494430542
1701835046.4452355,3649,0.1423528641462326
1701835047.800493,3699,0.031218644231557846
1701835049.2274692,3749,0.11048026382923126
1701835060.287912,3799,0.1983528733253479
1701835061.7221637,3849,0.03594454005360603
1701835063.2335446,3899,0.11873435974121094
1701835064.621675,3949,0.2041292041540146
1701835065.9860487,3999,0.03563592955470085
1701835067.3433282,4049,0.12582609057426453
1701835068.7544696,4099,0.0701964870095253
1701835070.105882,4149,0.04642331600189209
1701835071.4732397,4199,0.0851929634809494
1701835072.8125088,4249,0.18469621241092682
1701835074.163186,4299,0.10011625289916992
1701835075.5090113,4349,0.06500191241502762
1701835076.9001544,4399,0.072098009288311
1701835078.331519,4449,0.1288796067237854
1701835079.713257,4499,0.00785908754914999
1701835081.1066873,4549,0.06885558366775513
1701835082.509573,4599,0.12860766053199768
1701835083.8741415,4649,0.055923111736774445
1701835094.974448,4699,0.0649527832865715
1701835096.5314767,4749,0.048942480236291885
1701835097.9958682,4799,0.1712278127670288
1701835099.418418,4849,0.030200092121958733
1701835100.783012,4899,0.04824788123369217
1701835102.144054,4949,0.11657954007387161
1701835103.5708187,4999,0.0668485090136528
1701835105.0244706,5049,0.11009910702705383
1701835106.5496395,5099,0.031454455107450485
1701835108.12455,5149,0.201882004737854
1701835109.592126,5199,0.10000818222761154
1701835111.0149171,5249,0.032414160668849945
1701835112.373471,5299,0.058138519525527954
1701835113.8528783,5349,0.08389754593372345
1701835115.252233,5399,0.012422531843185425
1701835116.6118143,5449,0.03550037369132042
1701835117.9672735,5499,0.07004423439502716
1701835119.426237,5549,0.074381522834301
1701835120.8089747,5599,0.018465958535671234
1701835132.014809,5649,0.06891298294067383
1701835133.3854856,5699,0.156587153673172
1701835134.7871244,5749,0.06505107879638672
1701835136.1384938,5799,0.03362932801246643
1701835137.5020273,5849,0.11490335315465927
1701835138.9055095,5899,0.052315711975097656
1701835140.3780813,5949,0.030670516192913055
1701835141.772289,5999,0.147388756275177
1701835143.135236,6049,0.08185528963804245
1701835144.5823944,6099,0.09538652002811432
1701835145.9440687,6149,0.02340080216526985
1701835147.3143368,6199,0.024097325280308723
1701835148.7511792,6249,0.058284565806388855
1701835150.1083415,6299,0.17214390635490417
1701835151.4780717,6349,0.06506345421075821
1701835152.8652298,6399,0.023695167154073715
1701835154.2808523,6449,0.051067374646663666
1701835155.787288,6499,0.0751914530992508
1701835157.1867154,6549,0.016283463686704636
1701835168.1733322,6599,0.02950410358607769
1701835169.7054625,6649,0.03514352813363075
1701835171.2005026,6699,0.10211978107690811
1701835172.5810592,6749,0.07267391681671143
1701835173.9784923,6799,0.07647816091775894
1701835175.3476806,6849,0.13676756620407104
1701835176.7830853,6899,0.022545846179127693
1701835178.1840584,6949,0.021373746916651726
1701835179.5935793,6999,0.019767608493566513
1701835181.0425858,7049,0.04870349168777466
1701835182.3983068,7099,0.014256563037633896
1701835183.741239,7149,0.10647474229335785
1701835185.1105,7199,0.14855557680130005
1701835186.4643185,7249,0.047130096703767776
1701835187.8338506,7299,0.20418564975261688
1701835189.2655861,7349,0.01239054836332798
1701835190.6259108,7399,0.05682773515582085
1701835192.0307875,7449,0.013630297034978867
1701835193.4022164,7499,0.01386251486837864
1701835204.7138438,7549,0.04927578940987587
1701835206.24528,7599,0.1879890412092209
1701835207.6496918,7649,0.012097256258130074
1701835209.1238163,7699,0.031647469848394394
1701835210.5597014,7749,0.007191781420260668
1701835212.0235233,7799,0.08525004982948303
1701835213.439837,7849,0.020213160663843155
1701835214.7944195,7899,0.01901545561850071
1701835216.1666791,7949,0.04798216000199318
1701835217.596532,7999,0.1312296837568283
1701835218.9885302,8049,0.08320380002260208
1701835220.3387942,8099,0.06891179829835892
1701835221.6930158,8149,0.11068489402532578
1701835223.0533211,8199,0.09891868382692337
1701835224.520749,8249,0.010521220974624157
1701835225.879761,8299,0.06994663178920746
1701835227.266015,8349,0.04861989617347717
1701835228.71223,8399,0.034803420305252075
1701835239.8702157,8449,0.019149174913764
1701835241.2227767,8499,0.05042926222085953
1701835242.5650504,8549,0.030217517167329788
1701835243.9132555,8599,0.022477589547634125
1701835245.267949,8649,0.047883033752441406
1701835246.8008392,8699,0.15544937551021576
1701835248.1832194,8749,0.02002495713531971
1701835249.6438413,8799,0.015311925671994686
1701835251.183285,8849,0.06410879641771317
1701835252.6362848,8899,0.10615229606628418
1701835254.0664763,8949,0.16057294607162476
1701835255.5372021,8999,0.02276819385588169
1701835256.944572,9049,0.010049264878034592
1701835258.3173065,9099,0.05106223747134209
1701835259.7235093,9149,0.01083105057477951
1701835261.237944,9199,0.03378931060433388
1701835262.6070435,9249,0.00912953820079565
1701835264.0079556,9299,0.1229463443160057
1701835265.3726704,9349,0.05624209716916084
