Wall time,Step,Value
1701832255.373195,49,2.326547861099243
1701832256.787261,99,2.291694164276123
1701832258.2932441,149,1.9716423749923706
1701832269.9916234,199,1.7728166580200195
1701832271.414708,249,1.7091113328933716
1701832272.7647395,299,1.5120548009872437
1701832284.2314196,349,1.4766045808792114
1701832285.767593,399,1.4031202793121338
1701832287.2320607,449,1.7244319915771484
1701832298.5771267,499,1.4989991188049316
1701832299.9529526,549,1.2661117315292358
1701832301.4428065,599,1.2995154857635498
1701832313.0938685,649,1.0291799306869507
1701832314.543457,699,1.0874879360198975
1701832316.0480652,749,0.85453200340271
1701832327.3414807,799,0.8770114183425903
1701832328.7835035,849,0.6093302965164185
1701832330.204013,899,0.8514209389686584
1701832341.7850878,949,0.45291364192962646
1701832343.1717212,999,0.46218162775039673
1701832344.679728,1049,0.6142114400863647
1701832356.1266444,1099,0.42344915866851807
1701832357.5335333,1149,0.3624752163887024
1701832358.9830096,1199,0.5250998139381409
1701832360.4354856,1249,0.2652163505554199
1701832371.8507388,1299,0.3421124815940857
1701832373.3189359,1349,0.19365273416042328
1701832374.8018677,1399,0.47623950242996216
1701832386.133812,1449,0.30990949273109436
1701832387.5397995,1499,0.3277449607849121
1701832389.0384047,1549,0.2612311840057373
