Wall time,Step,Value
1701823319.1834035,49,1.8609766960144043
1701823320.3444827,99,1.0559935569763184
1701823321.5200212,149,0.5596309900283813
1701823327.071477,199,0.516721785068512
1701823328.1882389,249,0.45406201481819153
1701823329.3300726,299,0.33605119585990906
1701823334.8309715,349,0.1520015299320221
1701823336.0021775,399,0.24317379295825958
1701823337.18016,449,0.11043459922075272
1701823342.7929337,499,0.12098187953233719
1701823343.9780722,549,0.19829805195331573
1701823345.080338,599,0.18113656342029572
1701823350.5167708,649,0.09792749583721161
1701823351.7020478,699,0.11411390453577042
1701823352.8481505,749,0.04840531200170517
1701823358.2377496,799,0.1297002136707306
1701823359.4271252,849,0.024295970797538757
1701823360.5391579,899,0.18246294558048248
1701823365.939496,949,0.12178900837898254
1701823367.1094058,999,0.06656986474990845
1701823368.3028262,1049,0.04778663441538811
1701823373.667171,1099,0.05227276682853699
1701823374.746946,1149,0.03223034739494324
1701823375.9606965,1199,0.09497835487127304
1701823377.0892127,1249,0.030590470880270004
1701823382.4952044,1299,0.03977087512612343
1701823383.6776342,1349,0.03678863123059273
1701823384.7756643,1399,0.018486401066184044
1701823390.1614974,1449,0.0530821718275547
1701823391.2957284,1499,0.0872999057173729
1701823392.4532218,1549,0.018551329150795937
